mcc_cat_desc,total,transactions,doy,hour
ANTIQUES,39.16,1,333,7
ANTIQUES,469.42,12,333,8
ANTIQUES,1686.62,18,333,9
ANTIQUES,1788.64,27,333,10
ANTIQUES,1929.03,39,333,11
ANTIQUES,2462.96,40,333,12
ANTIQUES,2551.3,34,333,13
ANTIQUES,1665.01,29,333,14
ANTIQUES,1425.47,30,333,15
ANTIQUES,908.04,17,333,16
ANTIQUES,517.34,9,333,17
ANTIQUES,77.79,3,333,18
ANTIQUES,94.03,3,333,19
ANTIQUES,25.48,1,333,20
ANTIQUES,34.54,1,333,21
ANTIQUES,230,1,334,5
ANTIQUES,20,1,334,6
ANTIQUES,107.03,3,334,7
ANTIQUES,580.9,16,334,8
ANTIQUES,1507.98,25,334,9
ANTIQUES,1346.15,22,334,10
ANTIQUES,1892.74,33,334,11
ANTIQUES,4235.4,37,334,12
ANTIQUES,1964.87,34,334,13
ANTIQUES,1772.61,31,334,14
ANTIQUES,913.72,24,334,15
ANTIQUES,635.15,20,334,16
ANTIQUES,589.98,9,334,17
ANTIQUES,15.16,1,334,19
APPLIANCES,403.88,2,319,7
APPLIANCES,85.86,1,319,10
APPLIANCES,123.11,3,319,11
APPLIANCES,109.85,2,319,13
APPLIANCES,79.5,1,319,14
APPLIANCES,168.57,2,319,16
APPLIANCES,99.77,1,319,18
APPLIANCES,137.09,2,319,19
APPLIANCES,6.39,1,320,7
APPLIANCES,221.28,4,320,9
APPLIANCES,110.1,2,320,10
APPLIANCES,404.92,1,320,11
APPLIANCES,274.88,6,320,12
APPLIANCES,643.64,6,320,13
APPLIANCES,137.39,4,320,14
APPLIANCES,552.03,8,320,15
APPLIANCES,158.16,3,320,16
APPLIANCES,204.24,4,320,17
APPLIANCES,110,1,320,18
APPLIANCES,77.62,1,320,19
APPLIANCES,20.31,1,321,8
APPLIANCES,27,1,321,9
APPLIANCES,57.29,2,321,10
APPLIANCES,81.06,3,321,11
APPLIANCES,417.3,7,321,12
APPLIANCES,430.03,5,321,13
APPLIANCES,27.09,1,321,14
APPLIANCES,122.18,2,321,15
APPLIANCES,648,1,321,16
APPLIANCES,300.9,4,321,17
APPLIANCES,13.5,1,321,19
APPLIANCES,121.9,1,322,10
